ad_id,ad_type,real_estate_type,region,city,type,living_area,land_area,floor,building_year,price,seller
6705475,prodaja,stanovanje,gorenjska,cerklje na gorenjskem,1-sobno,48.5,,p/2,1930,120000.0,nepremičnina posredovanje d.o.o.
6705460,prodaja,stanovanje,gorenjska,cerklje na gorenjskem,2-sobno,48.5,,p/2,1930,120000.0,nepremičnina posredovanje d.o.o.
6824332,prodaja,stanovanje,gorenjska,cerklje na gorenjskem,2-sobno,83.5,,1/3,2023,338000.0,"aeon nepremičnine, d.o.o."
6789647,prodaja,stanovanje,gorenjska,golnik,3-sobno,58.1,,1/2,1934,105000.0,nepremičnina posredovanje d.o.o.
6773525,prodaja,stanovanje,gorenjska,goreljek,apartma,34.75,,p/2,2007,198000.0,"aeon nepremičnine, d.o.o."
6773528,prodaja,stanovanje,gorenjska,goreljek,apartma,37.36,,1/2,2007,209000.0,"aeon nepremičnine, d.o.o."
6818082,prodaja,stanovanje,gorenjska,gorenja vas,garsonjera,31.15,,4/4,1983,107000.0,zasebna ponudba
6691146,prodaja,stanovanje,gorenjska,gorenja vas,4-sobno,115.0,,p+1+m,1985,159000.0,zasebna ponudba
6615538,prodaja,stanovanje,gorenjska,gorenja vas - reteče,"2,5-sobno",80.0,320.0,p/1,1863,130000.0,nepremičnina posredovanje d.o.o.
6633824,prodaja,stanovanje,gorenjska,gorenja vas - reteče,2-sobno,80.0,,p,1863,130000.0,nepremičnina posredovanje d.o.o.
6847179,prodaja,stanovanje,gorenjska,gozd martuljek,4-sobno,118.0,23.75,1/2,2007,569000.0,micasa 6 nepremičnine d.o.o.
6759948,prodaja,stanovanje,gorenjska,gozd martuljek,2-sobno,45.2,,p,1991,249000.0,"re/max commercial slovenija, rmc d.o.o."
6821745,prodaja,stanovanje,gorenjska,hrušica,1-sobno,42.7,,p/3,1983,131000.0,"bonita n-11 d.o.o., dom projekt šuvak nepremičnine"
6828540,prodaja,stanovanje,gorenjska,hrušica,1-sobno,46.6,,2/3,1983,130000.0,domus pro d.o.o.
6746124,prodaja,stanovanje,gorenjska,hrušica,3-sobno,85.7,142.7,1/2,1905,185000.0,zasebna ponudba
6846222,prodaja,stanovanje,gorenjska,jesenice,garsonjera,29.8,,1/5,1962,85000.0,gradex nepremičnine d.o.o.
6837702,prodaja,stanovanje,gorenjska,jesenice,1-sobno,33.3,,,1967,93000.0,nepremičnine smuk – nskg d.o.o.
6831428,prodaja,stanovanje,gorenjska,jesenice,garsonjera,36.1,,1,2011,120000.0,revestum d.o.o.
6845608,prodaja,stanovanje,gorenjska,jesenice,1-sobno,40.2,,3/12,1980,115000.0,"petro deluxe, jan petrovič s.p."
6846648,prodaja,stanovanje,gorenjska,jesenice,1-sobno,40.2,,3/13,1980,115000.0,nepremičnine kranj d.o.o.
6837749,prodaja,stanovanje,gorenjska,jesenice,garsonjera,42.6,,1/2,2011,119000.0,mesto nepremičnin d.o.o.
6697049,prodaja,stanovanje,gorenjska,jesenice,garsonjera,44.0,,1/2,2011,119000.0,zasebna ponudba
6835678,prodaja,stanovanje,podravska,maribor,4-sobno,136.6,,vp/4,1895,225000.0,baza agencija d.o.o.
6775665,prodaja,stanovanje,podravska,maribor,5 in večsobno,169.0,,1,1905,340000.0,experia d.o.o.
6513667,prodaja,stanovanje,podravska,maribor,5 in večsobno,301.0,,4/4,1800,150500.0,market center omnis d.o.o.
6610174,prodaja,stanovanje,podravska,maribor,drugo,350.0,,5/5,1897,598900.0,"re/max avenija, nepremičnine maribor d.o.o."
